Date,Close,High,Low,Open,Volume
2021-04-07,378.77239990234375,379.1170811285213,377.7104098657336,378.16687652422144,55836300
2021-04-08,380.5703125,380.6262052108521,379.089098803099,380.02068189018087,57863100
2021-04-09,383.3370056152344,383.50471212941807,380.3280113007407,380.44912161612,61104600
2021-04-12,383.476806640625,383.7469452179368,382.1353249621328,382.7408481738949,56704900
2021-04-13,384.6133117675781,385.2374848347506,382.9923665797892,383.374318989603,56551000
2021-04-14,383.2998046875,385.6380584899132,382.7594706720506,384.5853652391472,61659900
2021-04-15,387.41741943359375,387.6875864651336,385.3865753074208,385.4331430857711,60229800
2021-04-16,388.7123107910156,389.317834022548,387.28699001478793,388.70298586402646,82037300
2021-04-19,386.8025207519531,388.2278414252479,385.4796889791716,387.78069983654575,78498500
2021-04-20,383.97064208984375,386.6908489859736,382.4987247820928,385.59158768451925,81851800
2021-04-21,387.6037292480469,387.80867863656937,383.2159530341772,383.3557132219947,66793000
2021-04-22,384.0637512207031,388.2652000643892,383.001761278924,387.4361058956807,97582800
2021-04-23,388.2278442382813,389.63454349879055,384.548108882875,384.6226230049808,73209200
2021-04-26,389.0383605957031,389.6066410056365,388.2931055721406,388.8800074072831,52182400
2021-04-27,388.9544982910156,389.53210359386,387.8179659687333,389.3364507074016,51303100
2021-04-28,388.8426818847656,390.3425450797539,388.3768904526014,389.2246342706986,51238900
2021-04-29,391.32073974609375,391.9355879172904,387.9484139465216,391.5629604155623,78544300
2021-04-30,388.74951171875,389.90469378427656,387.85520014354586,389.0569499796858,85527000
2021-05-03,389.5879821777344,391.1157633582589,389.094244375353,390.7338109557142,68128300
2021-05-04,387.18463134765625,388.0975931803783,383.5048945153855,387.6038551880112,101591200
2021-05-05,387.3056945800781,389.05707545067736,386.7467390041926,388.8241796631968,60162200
2021-05-06,390.3984375,390.5288443174939,385.3771922186021,387.38008968955535,74321400
2021-05-07,393.2398681640625,393.8919877300399,390.4823900464042,391.1624559692286,67733800
2021-05-10,389.3458251953125,393.81741249794896,389.2247148491328,393.5938416617148,81852400
2021-05-11,385.8709716796875,386.8584473474661,382.0049080638009,384.8369282355566,116888000
2021-05-12,377.6730041503906,384.3617621463581,376.3594689289566,383.0948231249095,134811000
2021-05-13,382.2098693847656,384.1382530041698,379.1728997288725,379.21949593633536,106394000
2021-05-14,388.0788269042969,388.9265708311616,384.9114504451291,384.9393967974584,82201600
2021-05-17,387.0913391113281,387.9018401628468,385.0791165175704,386.97025720812496,65129200
2021-05-18,383.75634765625,387.59446551118776,383.5979660188922,387.352244805697,59810200
2021-05-19,382.7501831054688,382.9271861523255,377.5985301803542,379.0797721892408,106467100
2021-05-20,386.8677673339844,388.12541000565056,383.50476652206805,383.6258484249689,78022200
2021-05-21,386.5510864257813,389.5880563714277,386.0946198129668,388.3490349514176,76578700
2021-05-24,390.4917297363281,391.56304469550713,388.5446958936316,388.7869166152356,51376700
2021-05-25,389.6252746582031,391.9262858634761,389.0476977323679,391.57227976579446,57451400
2021-05-26,390.3984375,390.9014717770301,389.1780662229686,390.2121095554055,43088600
2021-05-27,390.6033935546875,391.9355502494223,390.3239016330106,391.4231910374945,56707700
2021-05-28,391.3021545410156,392.4293620777178,391.0692587771713,392.1685199593985,58520200
2021-06-01,390.95745849609375,393.7987753351119,390.5196133395258,393.6590435680493,54216600
2021-06-02,391.5722961425781,392.410743642536,390.6034702269548,391.6095674253817,49097100
2021-06-03,390.1190185546875,391.2555509981351,387.7993858877597,389.2619780804105,58138800
2021-06-04,393.6869812011719,393.9850945840739,390.18422002621526,391.9635469664871,55938800
2021-06-07,393.3050231933594,393.854653743624,392.3734402072181,393.6776507018846,51555000
2021-06-08,393.388916015625,394.2552814880263,391.563021073544,394.162117490748,47134300
2021-06-09,392.8019714355469,394.3018348687151,392.5784006100936,394.2272923071258,48436300
2021-06-10,394.6278381347656,395.5780709347275,392.7087795402519,394.0223149057569,51020100
2021-06-11,395.2799377441406,395.3917231433167,393.8918883216148,395.1774772714472,45570800
2021-06-14,396.1650390625,396.2674995574854,394.1528161505777,395.3918091672138,42358500
2021-06-15,395.4383544921875,396.3512876197017,394.56266421460623,396.3140447697688,51508500
2021-06-16,393.23046875,395.8016468115362,391.19032822729,395.5780759991089,80386100
2021-06-17,393.1000671386719,394.0782178856841,390.63137795315737,392.8206036194272,90949700
2021-06-18,387.7970275878906,390.5167781405025,387.5914076691271,389.8251604695109,118676300
2021-06-21,393.34869384765625,393.53563141152,388.74097097735967,389.5540951870982,72822000
2021-06-22,395.4515686035156,396.2834035896653,392.6196388178262,393.33932268734105,57700300
2021-06-23,394.9749450683594,396.3301424887815,394.8908317268986,395.5263737663793,49445400
2021-06-24,397.3115234375,397.73209014648296,396.8628904252522,397.1152589733079,45110300
2021-06-25,398.7227783203125,399.1714113121898,397.7320720872482,398.0591985278256,58129500
2021-06-28,399.5265502929688,399.6947769582962,398.0498464706564,399.24617251742296,53159600
2021-06-29,399.7415161132813,400.5452847325405,399.2087698297282,399.9097427746152,35970500
2021-06-30,400.0780334472656,400.7509687229313,399.2555538300446,399.2835916114196,64827900
2021-07-01,402.2931823730469,402.4520821803401,400.76972940102274,400.8351604112418,53441000
2021-07-02,405.3680725097656,405.72323677808726,402.3772425348485,403.4520907750856,57697700
2021-07-06,404.6297302246094,405.6391475232365,401.90062409385945,405.42417215788606,68710400
2021-07-07,406.0596923828125,406.34009873848606,403.3025486160357,405.31199914635374,63549500
2021-07-08,402.7510986328125,403.5081472646887,399.573331238698,400.7509751205796,97595200
